Source,Target,Type,Id,Weight
sashakots,RVvoenkor,Directed,9,11
vladlentatarsky,RVvoenkor,Directed,15,4
sashakots,infantmilitario,Directed,23,2
rusich_army,RVvoenkor,Directed,26,5
epoddubny,infantmilitario,Directed,52,1
Sladkov_plus,infantmilitario,Directed,53,1
wargonzo,infantmilitario,Directed,54,6
rybar,infantmilitario,Directed,64,11
brussinf,infantmilitario,Directed,89,1
romagolovanov,infantmilitario,Directed,92,1
adirect,bunkerdayly,Directed,117,864
molotov_perm,uralpartisan,Directed,138,15
adirect,uralpartisan,Directed,151,8
russia_and_anvil,uralpartisan,Directed,153,1
vladlentatarsky,uralpartisan,Directed,157,2
rusjuche,uralpartisan,Directed,165,3
new_totalis,uralpartisan,Directed,171,6
ordinaryczarizm,uralpartisan,Directed,176,2
ImashevNB,uralpartisan,Directed,189,1
drugoros_spb,uralpartisan,Directed,194,5
comradepelevin,uralpartisan,Directed,200,2
nbstaroverov,uralpartisan,Directed,201,1
interbrigady2022,uralpartisan,Directed,210,1
bunkerdayly,uralpartisan,Directed,214,1
bunkerdayly,bunkerdayly,Directed,235,1
sashakots,bunkerdayly,Directed,272,3
wargonzo,bunkerdayly,Directed,274,14
mihailaksel,bunkerdayly,Directed,294,63
molotov_perm,bunkerdayly,Directed,298,18
drugoros_spb,bunkerdayly,Directed,303,23
beard_tim,bunkerdayly,Directed,313,34
nbstaroverov,bunkerdayly,Directed,315,21
rusjuche,bunkerdayly,Directed,319,21
interbrigady2022,bunkerdayly,Directed,351,179
ImashevNB,bunkerdayly,Directed,352,30
strelkovii,bunkerdayly,Directed,358,2
chernaya100kitchen,bunkerdayly,Directed,361,9
comradepelevin,bunkerdayly,Directed,371,25
rusfleet,bunkerdayly,Directed,386,1
voenacher,bunkerdayly,Directed,393,1
new_totalis,bunkerdayly,Directed,394,17
notes_veterans,bunkerdayly,Directed,404,3
ghost_of_novorossia,bunkerdayly,Directed,405,6
uralpartisan,bunkerdayly,Directed,421,5
ordinaryczarizm,bunkerdayly,Directed,447,2
russia_and_anvil,bunkerdayly,Directed,448,6
RVvoenkor,bunkerdayly,Directed,462,1
fabric80,bunkerdayly,Directed,466,3
KRPRus,bunkerdayly,Directed,468,4
adirect,ImashevNB,Directed,479,262
sashakots,epoddubny,Directed,485,1341
zverochan,bunkerdayly,Directed,490,2
wargonzo,ImashevNB,Directed,499,20
Sladkov_plus,epoddubny,Directed,501,43
voenkorKotenok,bunkerdayly,Directed,502,2
interbrigady2022,ImashevNB,Directed,504,70
beard_tim,ImashevNB,Directed,510,18
rusjuche,ImashevNB,Directed,527,27
inter_manufactory_77,bunkerdayly,Directed,531,47
adirect,mihailaksel,Directed,536,421
