Id,Label,Subscribers,Cluster
RVvoenkor,Операция Z: Военкоры Русской Весны,1613675,Military Bloggers
rybar,Рыбарь,1315743,Military Bloggers
rusich_army,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,1179493,Military Bloggers
dva_majors,Два майора,1178426,Military Bloggers
wargonzo,WarGonzo,1032159,Military Bloggers
Sladkov_plus,Сладков+,919739,Military Bloggers
voenacher,Повёрнутые на войне 🇷🇺,791544,Military Bloggers
epoddubny,Поддубный |Z|О|V| edition,770819,Military Bloggers
kvmalofeev,Константин Малофеев,743128,Tsargrad Network
sashakots,Kotsnews,621646,Military Bloggers
obshina_ru,Русская Община ZOV,616283,Radical Conservative-Orthodox Patriots
grey_zone,GREY ZONE,547227,Military Bloggers
aleksandr_skif,Александр Ходаковский,499631,Military Bloggers
strelkovii,Стрелков Игорь Иванович,433253,White Imperial Nationalists
voenkorKotenok,Военкор Котенок,408401,Military Bloggers
notes_veterans,ZАПИСКИ VЕТЕРАНА,358596,White Imperial Nationalists
infantmilitario,Милитарист,286187,Military Bloggers
vladlentatarsky,Владлен Татарский,255094,Military Bloggers
RtrDonetsk,Репортёр Руденко V,232094,Military Bloggers
ghost_of_novorossia,ПриZрак Новороссии,199441,White Imperial Nationalists
Alekhin_Telega,Роман Алехин,188824,Military Bloggers
brussinf,Позывной Брюс,136023,Military Bloggers
o_andrey_tkachev,АНДРЕЙ ТКАЧЁВ,127639,Radical Conservative-Orthodox Patriots
boriskorchevnikov,Борис Корчевников,120690,Radical Conservative-Orthodox Patriots
zhivoff,ЖИВОВ Z,117041,Military Bloggers
beard_tim,Синяя Z Борода,99116,Anti-Systemic Nationalists
romagolovanov,ГОЛОВАНОВ,83927,Radical Conservative-Orthodox Patriots
spastv,Телеканал СПАС,73771,Radical Conservative-Orthodox Patriots
Agdchan,AGDchan,71403,Tsargrad Network
i_strelkov_2023,Мирослава Регинская (Свободу Стрелкову!),57589,White Imperial Nationalists
rusfleet,Записки мичмана Птичкина,53568,White Imperial Nationalists
blackcolonel2020,"""Черный полковник"" В.Алкснис",41046,White Imperial Nationalists
ordinaryczarizm,Обыкновенный царизм,37892,Anti-Systemic Nationalists
soldat_prav,СОЛДАТСКАЯ ПРАВДА,36764,White Imperial Nationalists
pgubarev,Рядовой Губарев,31872,White Imperial Nationalists
zogrussia1,ZOG 2.0,26617,Military Bloggers
nwindpro,Северный ветер,24015,White Imperial Nationalists
kartezianec,Cogito ergo sum (канал архиепископа Саввы),23716,Radical Conservative-Orthodox Patriots
comradepelevin,Александр Пелевин Z,22729,Anti-Systemic Nationalists
Andrafanaslive,Афанасьев Z,21842,Radical Conservative-Orthodox Patriots
tsarkrest,ДВИЖЕНИЕ ЦАРСКИЙ КРЕСТ,20908,Radical Conservative-Orthodox Patriots
russia_and_anvil,Савва Федосеев,15946,Anti-Systemic Nationalists
rus_jansen,Янсен | Z,14837,White Imperial Nationalists
KRPRus,Клуб рассерженных патриотов,14403,Anti-Systemic Nationalists
juchkovsky,Александр Жучковский,13716,White Imperial Nationalists
der_kultur_kampf,Культурная война | Kulturkampf,13126,Anti-Systemic Nationalists
adirect,Прямое действие⚡Z,12949,Anti-Systemic Nationalists
georgy_fedorov,Федоров Здорового Человека,12289,White Imperial Nationalists
R_Vestovoi,Вѣстовой 🇷🇺,10932,White Imperial Nationalists
russdiary,РУССКИЙ ДНЕВНИК,8395,Tsargrad Network
RDS_Official_channel,РДС. РУССКОЕ ДВИЖЕНИЕ СТРЕЛКОВА,7494,White Imperial Nationalists
chernaya100kitchen,Кухня черносотенца,6806,White Imperial Nationalists
interbrigady2022,Интербригады 2022,6134,Anti-Systemic Nationalists
zapiskitrad,Zаписки традиционалиста,5169,Tsargrad Network
Rus_imperia,Русское Имперское Движение,3864,Radical Conservative-Orthodox Patriots
imperskiylegion1917,Имперский легион,3505,Radical Conservative-Orthodox Patriots
drugoros_spb,ЛЕНИНГРИБ 🅉 (нацболы),3451,Anti-Systemic Nationalists
mihailaksel,Михаил Аксель,3392,Anti-Systemic Nationalists
rusjuche,Русское чучхе,2798,Anti-Systemic Nationalists
zverochan,ZVерства и тОчка. Свободу Лене Егоровой.,2784,Anti-Systemic Nationalists
rossia_3,ЕСМ | РОССИЯ-Z,2647,Tsargrad Network
new_totalis,Totalis,2496,Anti-Systemic Nationalists
ImashevNB,Уральский прищур Z Кирилл Имашев,2056,Anti-Systemic Nationalists
boris975,Борис Мышлявцев,1985,White Imperial Nationalists
RDS_official_smi,Русский Манифест | Пресса РДС,1889,White Imperial Nationalists
bunkerdayly,#Бункера⚡️Z,1542,Anti-Systemic Nationalists
heartlandfire,Хартленд,1539,Tsargrad Network
igorvezite,Цех52,1286,Anti-Systemic Nationalists
Protoinquisitor,Судья инквизиции,1178,White Imperial Nationalists
molotov_perm,Молотов!,929,Anti-Systemic Nationalists
nbstaroverov,Беспечный плотник Z,687,Anti-Systemic Nationalists
fabric80,Цех80,394,Anti-Systemic Nationalists
dr_kuban,Другая Кубань,382,Anti-Systemic Nationalists
uralpartisan,Уральский ПартиZан,373,Anti-Systemic Nationalists
drugoros_vrn,Другой Воронеж,321,Anti-Systemic Nationalists
inter_manufactory_77,ЦЕХ 77,239,Anti-Systemic Nationalists
nazbol_sar,Другой Саранск,139,Anti-Systemic Nationalists
KRPrus52,КРП - Нижний Новгород,78,Anti-Systemic Nationalists
