channel_name,forward_channel_name,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,total_count,news,official ,foreign,irregular_source,Private_Deleted_Blocked,Selected 
Константин Малофеев,AGDchan,0,0,0,0,0,0,1,3,2,1,1,8,0,0,0,0,0,1
Константин Малофеев,Царьград ТВ,3,0,1,1,0,13,1,2,2,0,0,23,0,0,0,0,0,1
Прямое действие⚡Z,#будниБункера⚡️Z,7,11,9,11,11,14,12,27,37,36,23,198,0,0,0,0,0,1
Прямое действие⚡Z,Totalis,0,0,1,4,3,7,12,10,7,10,4,58,0,0,0,0,0,1
Прямое действие⚡Z,WarGonzo,17,4,3,6,0,2,1,0,1,2,4,40,0,0,0,0,0,1
Прямое действие⚡Z,Zаписки авантюриста,4,1,5,3,2,0,1,0,0,0,0,16,0,0,0,0,0,1
Прямое действие⚡Z,Александр Пелевин Z,0,2,2,0,2,3,5,3,2,9,12,40,0,0,0,0,0,1
Прямое действие⚡Z,Андрей Песоцкий,15,9,8,6,7,5,7,4,7,9,6,83,0,0,0,0,0,1
Прямое действие⚡Z,Беспечный плотник Z,7,4,3,14,7,4,1,3,2,3,4,52,0,0,0,0,0,1
Прямое действие⚡Z,Вологодский нацбол,0,3,1,4,2,2,3,1,1,0,0,17,0,0,0,0,0,1
Прямое действие⚡Z,Другая Кубань,0,4,4,7,8,7,10,11,9,5,8,73,0,0,0,0,0,1
Прямое действие⚡Z,Другой Воронеж,0,0,0,0,0,0,0,6,11,4,4,25,0,0,0,0,0,1
Прямое действие⚡Z,Другой Нижний Z,10,7,15,14,7,12,28,24,15,4,7,143,0,0,0,0,0,1
Прямое действие⚡Z,Другой Ростов,0,0,0,2,7,9,5,1,0,0,0,24,0,0,0,0,0,1
Прямое действие⚡Z,Другой Саранск,0,0,0,0,0,1,3,3,4,2,3,16,0,0,0,0,0,1
Прямое действие⚡Z,Имперский анархист 🏴‍☠,14,4,2,0,0,1,0,0,0,0,1,22,0,0,0,0,0,1
Прямое действие⚡Z,Интербригады 2022,0,13,58,47,41,22,36,31,33,17,15,313,0,0,0,0,0,1
