channel_name,message,is_criticism
AGDchan,"Мнение дня. 

Александр Дугин, лидер международного Евразийского движения, главный редактор портала Катехон, о признании ЛНР и ДНР. 

Семь лет с 2014 года для меня было слишком болезненно комментировать тему ДНР и ЛНР и в целом Украины. Свертывание Русской Весны я пережил как личную драму и страшную потерю. Я делал все возможное - вопреки тогдашним намерениям Кремля, чтобы состоялся референдум о независимости ДНР и ЛНР. Некоторые близкие мне люди погибли в битве за Донбасс. Часть меня - может быть самая лучшая - погибла там же. 
Заметки, которые я писал весной 2014 года, составили целую книгу ""Украина: моя война."" Она издана, переведена на несколько иностранных языков. При слове ""Новороссия"" я все эти годы испытывал острую боль - физическую. Я не мог понять нашу власть, почему она остановила то, что не должна была, и не сделала то, что очевидно должна была. Не понимаю и сейчас. Мне было совершенно очевидно, что так все не останется. Мое последнее выступление на федеральных каналах (на Первом) звучало так: ""Потеряем Донбасс, потеряем Крым. Потеряем Крым, потеряем Россию."" Вот именно в силу своего содержания оно и стало последним.  Далее начались Минские переговоры. Но тогда я уже перестал говорить что-либо на эту тему. Из одного неправильного решения логически вытекало другое. Все было бесполезно. Кремль был не готов действовать решительно в ситуации, которая геополитически была кристально ясной. Глобалисты отняли у нас Украину. И пока мы не вернем все назад, они не успокоятся, и будут наседать дальше. Крым никто не признает, пока мы их это не заставим сделать.  Трамп со своим реализмом был окном возможности для относительно гармоничного урегулирования ситуации. Он не был глобалистом. Но этого не случилось. Когда к власти снова пролез глобалист и атлантист Байден, все стало снова фатально.  И вот теперь с опозданием на 7 кошмарных лет Кремль делает то, что должен был сделать давно. Вот она страшная цена фразы ""лучше поздно, чем никогда"". Но и правда, лучше чем никогда. Лучше. Фактически сегодня мы признали ДНР и ЛНР. Причем в границах до начала карательной операции. Гражданское население стремительно покидает Донбасс. Это значит именно то, что вы подумали. Вот только сейчас мы преодолели точку невозврата. Назад повернуть уже нельзя. Поздно. Мы вступили в Русскую Весну-2. 
Мои друзья, братья и сестры Донбасса дождались. Как невыносимо им было эти 7 лет. Я не мог им смотреть в глаза, как сербам после НАТОвских бомбежек Белграда. Тогда мы должны были помочь. И не помогли. С народом Донбасса не менее страшно и унизительно. Да, мы их не бросили, не предали до конца. Но не спасли. Только сейчас проснулись. У меня нет даже отдаленной догадки, почему именно сейчас. И как шел процесс геополитического планирования предыдущие 7 лет. Кто-то считает, что мы выиграли время. Мне кажется, мы его потеряли. Но снова - ""чем никогда "". И поэтому страница закрыта. Мы вступаем в новый период.  В такой ситуации дистанцироваться, хранить молчание или устраняться аморально. Перед лицом народа и истории. Поэтому начинаем русскую евразийскую мобилизацию. Ни на что не рассчитывая и не надеясь. Пройдем так далеко, как сможем.  Я не вижу и не хочу ни другого пути, ни другой судьбы. Битва за Украину, по Бжезинскому, это условие возрождения нашей Империи. Чтобы не допустить этого, и был проведен Майдан и последующий госпереворот. Строго по планам атлантистов. И ответ евразийцев может быть только один. Тот самый. Ну, скажем, начнем с признания. Это уже жест. И это решимость. Дай Бог, чтобы так и дальше.",TRUE
AGDchan,"❗️""Империя лжи"" Запада бессильна против правды и справедливости, Россия продолжит доводить свою позицию для всего мира — Путин",FALSE
AGDchan,"Путин:

«Я совсем не осуждаю тех, у кого вилла в Майами или на Французской Ривьере, кто не может обойтись без фуа-гра, устриц или так называемых гендерных свобод.

Но проблема абсолютно не в этом. А, повторю, в том, что многие из таких людей по своей сути ментально находятся именно там, а не здесь, с нашим народом, не с Россией. И это и есть, по их мнению, признак принадлежности к высшей касте, к высшей расе.

Подобные люди могут и мать родную продать, только лишь бы им разрешили сидеть в прихожей у этой самой высшей касты. И они хотят быть похожими на неё, всячески подражая ей».

@rt_russian",TRUE
AGDchan,"Александр Дугин, лидер Международного евразийского движения, главный редактор портала Катехон,специально для Незыгаря.
(4). 

И шестая колонна растерялась – от нее Запад требовал невозможного. Поэтому им надо либо бежать и бороться с Путиным извне (как это сделал Чубайс и ряд других знаковых фигур российского олигархата). Либо солидаризоваться со специальной военной операцией, но это перечеркнет их позиции на Западе и лишит награбленного. И вот что важно: они не могут больше оставаться либералами – даже системными, так как либерализм сегодня в глобальном масштабе слился с русофобией, стал версией нацизма. А нельзя быть нацистом и вести одновременно с ним борьбу, требующую колоссальных жертв.
Получается либо Россия, либо либерализм.
Если системные либералы (шестая колонна) хотят оставаться системными, им необходимо перестать быть либералами. Либерализм сегодня равен нацизму, а Россия начала беспрецедентную операцию по денацификации. Следовательно, системные либералы должны пройти денацификацию (делиберализацию) сами, чтобы не выводить этот процесс на государственный уровень.
Многие бывшие либералы 90-х уже так и поступили еще на предыдущих стадиях, сделав свой выбор – между Россией с традиционными ценностями и Западом с либерал-нацистскими ценностями они выбрали Россию и Традицию. И замечательно. К таким никаких вопросов. Если, конечно, они искренни глубинно, а не пытаются доказать свой патриотизм, внезапно сменив риторику и организовав соответствующую пиар-компанию во всех СМИ.
Неверно было бы обращать – как испанских евреев в католичество – системных либералов в патриотизм насильно. Это вопрос идеологии и свободы совести. И здесь насилие даст лишь обратный эффект. Но в элите общества в столь напряженное и решающее время должны быть те, кто полностью разделяет интересы и ценности страны, ведущей онтологическую войну с большим противником – за интересы и ценности
Поэтому если шестая колонна выбирает России, она не может больше называться «системными либералами», это все равно, что быть «системными нацистами».
Наша победа зависит не только от героических действий нашей армии. Она зависит от того, насколько глубоко и полно Россия станет Россией. Сегодня обращение к Русской Идее не прихоть власти.
Вспомним, коммунисты устами Сталина в трудной критической ситуации обращались к русскому народу, к Церкви и нашей героической истории.
Люди и в России и на Украине вопреки системным либералам и их альтер-эго - неонацистам ждут от Москвы настоящих слов. Истинной речи. Искреннего обращения к глубинам народного бытия. Пора сказать – эта специальная военная операция относится к разряду священных.
Сегодня снова русский солдат и русский гражданин в тылу, русский сын и русская мать, русский поп и русский поэт решают судьбу человечества.
Россия в смертельной схватке с Анти-Россией выступает как цивилизация Света. Это и есть наши интересы и ценности. Мы несем миру Свет, тихий, но негасимый невечерний русский Свет.",TRUE
AGDchan,"Главный способ «противодействия информационным диверсиям» - не сдавать города, а наступать и брать их

Как сообщает Дмитрий Песков, президент России обсудил в Совбезе ход операции на Украине, и на совещании ""акцентирована необходимость активного противодействия информационным и иным диверсиям украинской стороны, подобным произошедшему в Буче"".

По неведомой причине Россия в острых ситуациях очень любит изображать девушку честную, но глупую. Украина бессовестна, Запад коварен! Надо же, какое открытие сделано в 2022-то году. «Не могут же они…» - могут. Все что угодно могут.

Предотвратить диверсию в Буче можно было ровно одним способом: оставить Бучу в глубоком тылу, заставить украинскую сторону устраивать «информационные и иные диверсии» в Луцке и Ужгороде, а лучше – пусть скрываются в Сенегале (потому что в Варшаве страшно) - и там информационные и иные диверсии готовят. Нас назначили виновными абсолютно во всем заранее и давно. Причем в самой жесткой форме: если БТР собаку под Житомиром задавит, вам с карикатурным пафосом скажут, что Пушкин и Сергий Радонежский умерли под Житомиром, и вся история России только к этому шла. Даже если вы потом со спутниковыми снимками и свидетельскими показаниями в руках объясните, что собаку задавил украинский БТР, это будет воспринято как лепет оправдания. Это не те люди, которые готовы играть с нами по правилам. Это люди, которые ведут против нас тотальную войну, на которой морально то, что ведет к их победе, а аморально – то, что ведет к нашей. 

Главный способ «противодействия информационным диверсиям» - не сдавать города, а наступать и брать их. Если вы помните, недавно украинский центр информационно-психологических операций серьезно сбавил активность. Так вот, это произошло не потому, что они усовестились и поняли, что врать нехорошо.

Это произошло, потому что им на голову ракета прилетела.",TRUE
AGDchan,"Часть 1. Археомодерн: явление, семантика, структура
Введение
Глава 1. Археомодерн  (введение понятия)
Археомодерн как эвристический термин
Археомодерн как парадигмальная аномалия
Модерн как инсталляция субъекта
В России нет субъекта
Entzauberung как генезис субъекта
В поисках Юкста
Археомодерн как сбой
Философы подозрения
Структура как обобщение иррефлексивного в субъекте
Керигма
Работа «христианских сновидений»
Археомодерн как аномальное коэкзистирование керигмы и структуры
Наступление керигмы как предпосылка модернизации
Керигма наступает в модерне в соответствии с формальными правилами
Постмодерн как триумф керигмы
Фрейдизм как терапия субъекта
Марксистская керигма
Ницше: жизнь как структура
Керигматичность постмодерна: финальный экзорцизм структуры
Археомодерн как конфликт операционных систем
Археомодерн как бред
Керигма адвайта-ведантизма
Археомодерн пытает структуру
Очарованная техника
Археомодерн как взаимопленение архаики и модерна
Постмодерн (Тарантино) и археомодерн (Миике)
Криминал на запретной черте
География археомодерна
Кукуйский язык и морфология бреда
Delirium
Славянофилы и западники обнаружили археомодерн
Чаадаев и радикальное западничество
Стратегия славянофилов: раскапывать структуру
Наследники славянофилов: серебряный век
Национал-гомеопатическая терапия
Всемирный фронт евразийцев против западноевропейской керигмы
Археомодерн по-советски
Трудовой отдых
Поп-механика
Революционный потенциал гиперконформизма
Нелибералы
Путин как воплощение археомодерна
Баланс путинского археомодерна
Археомодерн как политическая категория
Младший президент и его «и»
Русская ложь
Модернизация по Ходорковскому не прошла
Резюме",FALSE
AGDchan,"Я понимаю, что трудно. Я понимаю, что никто не ожидал, в каком развале находится страна, начавшая СВО. Я понимаю, что там, где узко, вполне удержалось, а там, где должно было бы быть надежно, там и посыпалось… Но… Мы вообще ни о чем не можем говорить, пока не начнутся первые внятные победы. Наше отступление, наш проигрыш лишает нас права на речь. Чтобы бы ни сказали или ни предложили — все только обесценивается на фоне реальной картины на фронтах. 
И тут, увы, нужны репрессии. Путин ненавидит насилие и репрессии особенно. Ему это просто противно. Но ничего не поделаешь. Чистенько уже не будет, не вышло. Пора карать. Сурово и необратимо. За каждый провал есть ответственные. Должны быть. За провал СВО, конечно, тоже. Их не может не быть. И отставкой не отделаться. Чем дольше мы тянем с этим, тем более жестокой будет все дальнейшее. Надо начинать. Тянуть больше нельзя. Если есть провалы, то должны быть виноватые.",TRUE
AGDchan,"Я предполагаю, что произошло следующее. Запад крайне негативно относится к нацизму во всех его формах. И когда на самом Западе появляются даже отдаленные намеки на национализм, патриотизм или даже нейтралитет (как в случае Швейцарии), когда кто-то пытается защищать местные традиции, религию или нормальную семью, сразу со стороны правящих либеральных глобалистских сил поднимается волна негатива. Но, видимо, на самом высоком уровне было принято решение сделать исключение для Украины и использовать украинский нацизм в геополитическом противостоянии с Россией, не замечать его, не критиковать и не демонизировать. Запад ради своих геополитических интересов пренебрег собственными принципами и дал зеленый свет украинскому нацизму. Вот что значит геополитика. Я всегда настаивал на том, что именно этот геополитический подход, по крайней мере в англосаксонских элитах, намного превышает по значимости и идеологию, и культуру, и классические теории международных отношений. А мы в этот момент начали колебаться с Новороссией, с Русским миром. Мы его провозгласили, но до конца не довели. Мы возвратили Крым, поддержали Донбасс, но на этом остановились. Мы не осознали до конца значение геополитики. И не предприняли всех усилий для того, чтобы украинский фронтир, эту пограничную территорию, накрепко привязать к Евразии. Это первое.
Второе — мы вообще ничего не предложили украинским националистам из того, что могли. Тогда надо было нам самим заведомо становиться в резкую оппозицию Западу и защищать свои традиционные ценности, которые у нас с православной частью украинского народа общие. И исторически, и этнически. А то получилось, что Россия стремится на тот же Запад, в Европу, что и Украина. Но Москва настырно настаивает — нет, только после меня. Кому же это понравится? А вот если бы мы прямо провозгласили ориентацию на возрождение великой евразийской империи с православием и традиционализмом, а также с социальной справедливостью и народностью во главе, то украинские ландскнехты сто раз подумали бы, с кем им быть. Мы это упустили, посылая на Украину в качестве своих контрагентов коррупционеров и либералов.
Третье. Мы упустили возможность последовательной борьбы за Русский мир и освобождение Новороссии, когда это все было на расстоянии вытянутой руки. В 2014 году Киев сразу после переворота оказался растерян, Виктор Янукович был у нас и вполне мог бы официально попросить Кремль о спасении страны и приказать верным законному президенту войскам не оказывать сопротивления русским. Мы споткнулись. А Запад действовал последовательно и строго. Все эти 8 лет передышки, которые нам навязали, обманув нас, были использованы для того, чтобы пестовать украинский нацизм, вооружать террористические структуры ВСУ и продвигать русофобскую идеологию вглубь общества, которое изначально колебалось. Раньше украинские националисты приезжали в Россию для того, чтобы посмотреть, можно ли пойти дальше с Россией, достаточно ли мы сильны, последовательны, могущественны, решительны в своей суверенности. А также понимаем ли их особенности, готовы ли считаться с их особой западно-русской идентичностью. Но мы не продемонстрировали ни того, ни другого, ни третьего.
А Запад предложил им то, о чем они и мечтать не могли. На антифашистском Западе украинский национализм, быстро превратившийся в нацизм, вдруг пошел на ура, и его начали всячески поддерживать. После этого украинский нацизм стал патологическим, они перестали колебаться, перешли на строну Запада, НАТО, ЕС. Появилась свастика, откровенный сатанизм, и все это стало новой идеологией уже не в стране и государстве, а в инфернальном противоестественном мире с полностью перевернутыми ценностями, смыслами и этическими установками.",TRUE
AGDchan,"Теперь у России остался только один путь достичь мира – силовой. Так называемая партия мира продолжает навязывать переговоры с Западом и Киевом, но этот процесс заранее обречён на провал. 

В 2014-м так называемые западные партнёры завели нас в дипломатический тупик, в настоящую ловушку. В Минске они на протяжении 16 часов врали нашему президенту Владимиру Путину, обещая заставить Украину выполнить ряд последовательных действий. Владимир Владимирович, будучи человеком слова, полагал, что, договорившись с Олландом и Меркель, можно быть уверенным в обязательности этих соглашений. Но Киев за эти восемь лет и палец о палец не ударил, зато копил западное оружие и деньги.

И сейчас мы уже наверняка знаем, что все ""минские соглашения"" были фарсом. ""Партнёры"" открыто признались в этом. Они обманули не только какого-то Горбачёва, когда устно пообещали не расширять НАТО на восток. Они обманули действующего президента.

Со стопроцентной вероятностью можно утверждать, что они обманут нас со своей дипломатической имитацией ещё раз. Поэтому в договоренностях с ними нет никакого смысла. С ними разговаривать можно только с позиции силы. И только о капитуляции.",TRUE
AGDchan,"Такая идеологическая трансформация общества неизбежна. Ее можно какое-то время ещё откладывать, но ее нельзя предотвратить. 
Я убежден, что наша власть не хотела этой войны. Она ее старалась любыми способами оттянуть. И оттянуть было можно, а избежать нельзя. И теперь ее нельзя остановить. В ней можно либо победить, либо исчезнуть. Понятно, что часть элиты в панике. Она не может принять фатальность происходящего, надеется вопреки всякому здравому смыслу как-то откатить ситуацию к прошлому. Невозможно. Откладывать и тянуть да, возможно. Остановиться и вернуться на исходные позиции нет. Впереди только война и трудная, невероятно трудная Победа. На пути к ней наша страна необратимо изменится. Изменится государство, изменится общество. 
Меняться по своей воле никто не хочет отчаянно. Но это уже невозможно. Это рок. Меняться придется с железной необходимостью. Всем и во всем.",TRUE
